time (seconds),Light,Sound,Temperature,Time
8.044,128,128,21,1
8.045,128,128,21,2
8.045,128,128,21,3
8.045,128,128,21,4
8.045,128,128,21,5
8.045,128,128,21,6
8.045,128,128,21,7
8.045,128,128,21,8
8.045,128,128,21,9
8.045,128,128,21,10
8.045,128,128,21,11
8.045,128,128,21,12
8.045,128,128,21,13
8.045,128,128,21,14
8.045,128,128,21,15
8.045,128,128,21,16
8.045,128,128,21,17
8.045,128,128,21,18
8.045,128,128,21,19
8.045,128,128,21,20
8.045,128,128,21,21
8.045,128,128,21,22
8.046,128,128,21,23
8.046,128,128,21,24
8.046,128,128,21,25
8.046,128,128,21,26
8.046,128,128,21,27
8.046,128,128,21,28
8.046,128,128,21,29
8.046,128,128,21,30
8.046,128,128,21,31
8.046,128,128,21,32
8.046,128,128,21,33
8.046,128,128,21,34
8.046,128,128,21,35
8.046,128,128,21,36
8.046,128,128,21,37
8.046,128,128,21,38
8.046,128,128,21,39
8.046,128,128,21,40
8.046,128,128,21,41
8.046,128,128,21,42
8.046,128,128,21,43
8.046,128,128,21,44
8.046,128,128,21,45
8.046,128,128,21,46
8.046,128,128,21,47
8.046,128,128,21,48
8.046,128,128,21,49
8.046,128,128,21,50
8.046,128,128,21,51
8.047,128,128,21,52
8.047,128,128,21,53
8.047,128,128,21,54
8.047,128,128,21,55
8.047,128,128,21,56
8.047,128,128,21,57
8.047,128,128,21,58
8.047,128,128,21,59
8.047,128,128,21,60
8.047,128,128,21,61
8.047,128,128,21,62
8.047,128,128,21,63
8.047,128,128,21,64
8.047,128,128,21,65
8.047,128,128,21,66
8.047,128,128,21,67
8.047,128,128,21,68
8.047,128,128,21,69
8.047,128,128,21,70
8.047,128,128,21,71
8.047,128,128,21,72
8.047,128,128,21,73
8.048,128,128,21,74
8.048,128,128,21,75
8.048,128,128,21,76
8.048,128,128,21,77
8.048,128,128,21,78
8.048,128,128,21,79
8.048,128,128,21,80
8.048,128,128,21,81
8.048,128,128,21,82
8.048,128,128,21,83
8.048,128,128,21,84
8.048,128,128,21,85
8.048,128,128,21,86
8.048,128,128,21,87
8.048,128,128,21,88
8.048,128,128,21,89
8.048,128,128,21,90
8.048,128,128,21,91
8.048,128,128,21,92
8.048,128,128,21,93
8.048,128,128,21,94
8.048,128,128,21,95
8.048,128,128,21,96
8.048,128,128,21,97
8.048,128,128,21,98
8.048,128,128,21,99
8.048,128,128,21,100
8.048,128,128,21,101
8.048,128,128,21,102
8.048,128,128,21,103
8.048,128,128,21,104
8.048,128,128,21,105
8.048,128,128,21,106
8.049,128,128,21,107
8.049,128,128,21,108
8.049,128,128,21,109
8.049,128,128,21,110
8.049,128,128,21,111
8.049,128,128,21,112
8.049,128,128,21,113
8.049,128,128,21,114
8.049,128,128,21,115
8.049,128,128,21,116
8.049,128,128,21,117
8.049,128,128,21,118
8.049,128,128,21,119
8.049,128,128,21,120
8.049,128,128,21,121
8.049,128,128,21,122
8.049,128,128,21,123
8.049,128,128,21,124
8.049,128,128,21,125
8.049,128,128,21,126
8.049,128,128,21,127
8.05,128,128,21,128
8.05,128,128,21,129
8.05,128,128,21,130
8.05,128,128,21,131
8.05,128,128,21,132
8.05,128,128,21,133
8.05,128,128,21,134
8.05,128,128,21,135
8.05,128,128,21,136
8.05,128,128,21,137
8.05,128,128,21,138
8.05,128,128,21,139
8.05,128,128,21,140
8.05,128,128,21,141
8.05,128,128,21,142
8.05,128,128,21,143
8.05,128,128,21,144
8.05,128,128,21,145
8.05,128,128,21,146
8.05,128,128,21,147
8.05,128,128,21,148
8.05,128,128,21,149
8.05,128,128,21,150
8.051,128,128,21,151
8.051,128,128,21,152
8.051,128,128,21,153
8.051,128,128,21,154
8.051,128,128,21,155
8.051,128,128,21,156
8.051,128,128,21,157
8.051,128,128,21,158
8.051,128,128,21,159
8.051,128,128,21,160
8.051,128,128,21,161
8.051,128,128,21,162
8.051,128,128,21,163
8.051,128,128,21,164
8.051,128,128,21,165
8.051,128,128,21,166
8.051,128,128,21,167
8.051,128,128,21,168
8.051,128,128,21,169
8.051,128,128,21,170
8.051,128,128,21,171
8.051,128,128,21,172
8.051,128,128,21,173
8.051,128,128,21,174
8.051,128,128,21,175
8.052,128,128,21,176
8.052,128,128,21,177
8.052,128,128,21,178
8.052,128,128,21,179
8.052,128,128,21,180
8.052,128,128,21,181
8.052,128,128,21,182
8.052,128,128,21,183
8.052,128,128,21,184
8.052,128,128,21,185
8.052,128,128,21,186
8.052,128,128,21,187
8.052,128,128,21,188
8.052,128,128,21,189
8.052,128,128,21,190
8.052,128,128,21,191
8.052,128,128,21,192
8.052,128,128,21,193
8.052,128,128,21,194
8.052,128,128,21,195
8.052,128,128,21,196
8.052,128,128,21,197
8.052,128,128,21,198
8.052,128,128,21,199
8.052,128,128,21,200
8.052,128,128,21,201
8.052,128,128,21,202
8.052,128,128,21,203
8.052,128,128,21,204
8.052,128,128,21,205
8.052,128,128,21,206
8.052,128,128,21,207
8.052,128,128,21,208
8.052,128,128,21,209
8.052,128,128,21,210
8.053,128,128,21,211
8.053,128,128,21,212
8.053,128,128,21,213
8.053,128,128,21,214
8.053,128,128,21,215
8.053,128,128,21,216
8.053,128,128,21,217
8.053,128,128,21,218
8.053,128,128,21,219
8.053,128,128,21,220
8.053,128,128,21,221
8.053,128,128,21,222
8.053,128,128,21,223
8.053,128,128,21,224
8.053,128,128,21,225
8.053,128,128,21,226
8.053,128,128,21,227
8.053,128,128,21,228
8.053,128,128,21,229
8.053,128,128,21,230
8.053,128,128,21,231
8.053,128,128,21,232
8.053,128,128,21,233
